Ballarat East ,6,5.3,5.2,6.4,9.3,26.2,22.1,5.1,3.6,3.6,3.3,3.7,"5,482",0,0,0,160,45,0,3,2,1,0,0,9.6,4.8,England,272,2.7,New Zealand,92,0.9,India,80,0.8,China,56,0.6,Netherlands,54,0.5,Italian,26,0.5,Mandarin,19,0.4,Cantonese,15,0.3,Dutch,13,0.3,Punjabi,10,0.2
Ballarat North ,6.1,5.7,6,6,7.6,24.8,23.4,5.7,3.9,3.6,3.7,3.6,"4,044",0,0,0,0,60,0,1,1,0,0,0,7,3.1,England,154,2,New Zealand,46,0.6,Netherlands,34,0.5,Scotland,32,0.4,Croatia,26,0.3,Italian,21,0.6,Croatian,12,0.3,Cantonese,11,0.3,German,9,0.2,Sinhalese,9,0.2
Balwyn North ,4.4,5.8,7.5,9,8,20,28.3,4.1,3.7,2.9,3.1,3.2,"21,429",0,0,0,25,95,0,3,6,1,0,0,35.4,29.2,China,2926,7.4,Malaysia,1332,3.4,England,968,2.5,Greece,964,2.4,Hong Kong,848,2.2,Mandarin,1730,8.7,Cantonese,1438,7.3,Greek,1266,6.4,Italian,717,3.6,Vietnamese,261,1.3
Balwyn ,4,5.1,6.7,8.6,8.2,21.7,27.6,4.7,3.2,3.2,3.3,3.6,"13,646",0,0,0,113,76,36,2,1,0,1,1,37.8,30.7,China,2424,9.7,Malaysia,828,3.3,England,760,3,India,570,2.3,Hong Kong,528,2.1,Mandarin,1423,11.3,Cantonese,880,7,Greek,404,3.2,Italian,220,1.8,Vietnamese,161,1.3
Bangholme ,3.6,1.6,2.4,2.8,3.1,10.4,23.9,15,13.4,12.5,7.7,3.6,882,0,0,0,0,0,0,1,0,0,1,0,38.4,15.7,England,214,14.6,Scotland,62,4.2,Netherlands,30,2,Wales,26,1.8,Germany,24,1.6,Greek,13,1.8,Dutch,12,1.6,German,10,1.4,Italian,9,1.2,Danish,6,0.8
Baxter ,6.5,4.8,5.8,6.2,7.4,29.9,28.8,4.3,3.8,1.1,0.8,0.6,"2,177",0,0,0,0,0,0,1,1,0,0,0,16.4,5.2,England,274,6.8,New Zealand,86,2.1,Scotland,68,1.7,Germany,50,1.2,Italy,38,0.9,Italian,29,1.4,German,27,1.3,Auslan,11,0.5,Greek,10,0.5,Dutch,6,0.3
Bayswater North ,6.9,5.6,5.3,5.6,7.2,33.3,24.6,3.7,2,1.9,1.8,2.1,"8,671",0,0,0,105,92,0,3,1,0,0,0,21.2,13.4,England,704,4.3,India,290,1.8,New Zealand,196,1.2,China,158,1,Scotland,144,0.9,Mandarin,93,1.1,Cantonese,77,0.9,Khmer,74,0.9,Punjabi,60,0.7,Greek,56,0.7
Bayswater ,6.7,5.4,4.8,5.5,6.9,31.8,23.3,5,3.8,3.1,1.8,1.9,"11,773",0,1,0,65,130,21,2,4,1,0,0,30.2,21.6,England,892,4.1,India,570,2.6,China,524,2.4,Germany,452,2.1,New Zealand,392,1.8,Cantonese,308,2.8,German,304,2.8,Mandarin,266,2.5,Sinhalese,93,0.9,Greek,91,0.8
Beaconsfield ,7.1,8.4,9.1,9.1,6.2,28.5,24,2.7,2.5,1.2,1,0.2,"6,478",0,0,0,0,0,0,2,1,1,0,0,17.3,7,England,714,6.3,New Zealand,144,1.3,Scotland,144,1.3,South Africa,104,0.9,Sri Lanka,96,0.8,Italian,41,0.7,Romanian,37,0.6,Sinhalese,37,0.6,Hungarian,35,0.6,Dutch,15,0.3
Beaumaris ,5.1,7.3,6.9,7,6,19.5,29.8,5.5,3.7,3.3,3.1,2.9,"13,434",0,0,0,0,0,0,4,3,0,0,0,22.6,9.1,England,1838,7.3,New Zealand,484,1.9,South Africa,338,1.4,Scotland,322,1.3,Germany,288,1.2,Greek,200,1.6,German,161,1.3,Italian,99,0.8,Mandarin,89,0.7,Russian,74,0.6
